obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temp,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('80',)",3771301808,14,3.484009981,3779218459,3779218533,3771301808,0,internal_timestamp,71.79499817,1562313008,33.89550018,0,7.585599899,1026.798912,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('81',)",3771301808,14,3.484019995,3779218459,3779218533,3771301808,0,internal_timestamp,71.79799652,1562313008,33.89550018,0,7.585599899,1026.798925,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('82',)",3771301808,14,3.484019995,3779218459,3779218533,3771301808,0,internal_timestamp,71.7990036,1562313008,33.89559937,0,7.585700035,1026.798993,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('83',)",3771301808,14,3.484019995,3779218459,3779218533,3771301808,0,internal_timestamp,71.8010025,1562313008,33.89559937,0,7.585700035,1026.799003,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('84',)",3771301808,14,3.484019995,3779218459,3779218533,3771301808,0,internal_timestamp,71.8010025,1562313008,33.89550018,0,7.585700035,1026.798925,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('85',)",3771301808,14,3.484019995,3779218459,3779218533,3771301808,0,internal_timestamp,71.80000305,1562313008,33.89550018,0,7.585700035,1026.79892,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('86',)",3771301808,14,3.484009981,3779218459,3779218533,3771301808,0,internal_timestamp,71.8030014,1562313008,33.89550018,0,7.585700035,1026.798934,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('87',)",3771301808,14,3.484009981,3779218459,3779218533,3771301808,0,internal_timestamp,71.80799866,1562313008,33.89550018,0,7.585599899,1026.798971,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('88',)",3771301808,14,3.484019995,3779218459,3779218533,3771301808,0,internal_timestamp,71.80500031,1562313008,33.89550018,1,7.585599899,1026.798958,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('89',)",3771301808,14,3.484019995,3779218459,3779218533,3771301808,0,internal_timestamp,71.81099701,1562313008,33.89559937,0,7.585700035,1026.799049,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('90',)",3771301808,14,3.484030008,3779218459,3779218533,3771301808,0,internal_timestamp,71.80599976,1562313008,33.89559937,0,7.585700035,1026.799026,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('91',)",3771301808,14,3.484030008,3779218459,3779218533,3771301808,0,internal_timestamp,71.80799866,1562313008,33.89569855,0,7.585700035,1026.799113,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('92',)",3771301808,14,3.484040022,3779218459,3779218533,3771301808,0,internal_timestamp,71.80799866,1562313008,33.89580154,0,7.585599899,1026.799208,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('93',)",3771301808,14,3.484030008,3779218459,3779218533,3771301808,0,internal_timestamp,71.80799866,1562313008,33.89569855,0,7.585599899,1026.799127,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
